Car_Age,Color,Drivetrain,Engine,Sum of Fuel Tank Capacity,Fuel Type,Fuel_ID,Sum of Height,KMGroup,Sum of Kilometer,KMGroup_ID,Sum of Length,Location,Make,Max Power,Model,Max Torque,Owner,Sum of Price,PriceBand,PriceBand_ID,Sum of PricePerKM,Sum of Seating Capacity,Seller Type,Transmission,Transmission_ID,Sum of Width,Year
10,Blue,FWD,1984 cc,60,Diesel,D1I1E1,1458,20–50k,44000,G2,4370,Mumbai,Volvo,150 bhp @ 3500 rpm,V40 Cross Country D3,350 Nm @ 1500 rpm,First,1595000,15–25L,PR5,36.25,5,Individual,Automatic,AUT,1783,2015
10,Blue,FWD,998 cc,35,Petrol,P1E1T1,1560,20–50k,25862,G2,3600,Kolkata,Maruti Suzuki,67 bhp @ 6000 rpm,Celerio LXi,90 Nm @ 3500 rpm,First,260000,2–5L,PR2,10.05,5,Individual,Manual,MAN,1600,2015
10,Blue,RWD,1196 cc,40,Petrol,P1E1T1,1800,50–100k,64000,G3,3675,Ranchi,Maruti Suzuki,73 bhp @ 6000 rpm,Eeco 5 STR [2014-2019],101 Nm @ 3000 rpm,First,320000,2–5L,PR2,5.00,5,Individual,Manual,MAN,1475,2015
10,Blue,RWD,1991 cc,66,Petrol,P1E1T1,1442,20–50k,31000,G2,4686,Mumbai,Mercedes-Benz,181 bhp @ 5500 rpm,C-Class C 200 Avantgarde,300 Nm @ 1200 rpm,First,2225000,15–25L,PR5,71.77,5,Individual,Automatic,AUT,1810,2015
10,Blue,RWD,1995 cc,65,Diesel,D1I1E1,1464,50–100k,70000,G3,4899,Coimbatore,BMW,190 bhp @ 4000 rpm,5-Series 520d Luxury Line,400 Nm @ 1750 rpm,Second,2550000,25–50L,PR6,36.43,5,Individual,Automatic,AUT,2094,2015
10,Bronze,AWD,2993 cc,44,Diesel,D1I1E1,1762,50–100k,59000,G3,4886,Chandigarh,BMW,258 bhp @ 4000 rpm,X5 xDrive 30d,560 Nm @ 1500 rpm,First,3550000,25–50L,PR6,60.17,7,Individual,Automatic,AUT,1938,2015
10,Bronze,Unknown,1000cc,44,Diesel,D1I1E1,1562,50–100k,62645,G3,4050,Hyderabad,Jaguar,"",XF 3.0 V6 Premium Luxury,"",First,2650000,25–50L,PR6,42.30,4,Individual,Automatic,AUT,1710,2015
10,Brown,FWD,1197 cc,55,Petrol,P1E1T1,1466,50–100k,60240,G3,4384,Bangalore,Volkswagen,103 bhp @ 5000 rpm,Vento Comfortline Petrol AT,153 Nm @ 3800 rpm,First,765000,5–10L,PR3,12.70,5,Individual,Automatic,AUT,1699,2015
10,Brown,FWD,1199 cc,40,Petrol,P1E1T1,1544,50–100k,52000,G3,3955,Noida,Honda,89 bhp @ 6000 rpm,Jazz SV Petrol,110 Nm @ 4800 rpm,First,495000,2–5L,PR2,9.52,5,Individual,Manual,MAN,1694,2015
10,Brown,FWD,1497 cc,40,Petrol,P1E1T1,1495,100–150k,116592,G4,4440,Mumbai,Honda,117 bhp @ 6600 rpm,City SV CVT,145 Nm @ 4600 rpm,First,590000,5–10L,PR3,5.06,5,Individual,Automatic,AUT,1695,2015
10,Brown,FWD,1497 cc,40,Petrol,P1E1T1,1495,50–100k,72000,G3,4440,Meerut,Honda,117 bhp @ 6600 rpm,City VX (O) MT,145 Nm @ 4600 rpm,First,595000,5–10L,PR3,8.26,5,Individual,Manual,MAN,1695,2015
10,Brown,FWD,1498 cc,35,Diesel,D1I1E1,1505,50–100k,63587,G3,3990,Mumbai,Honda,99 bhp @ 3600 rpm,Amaze 1.5 VX i-DTEC,200 Nm @ 1750 rpm,First,515000,5–10L,PR3,8.10,5,Individual,Manual,MAN,1680,2015
10,Brown,FWD,1598 cc,55,Petrol,P1E1T1,1466,50–100k,98112,G3,4384,Mumbai,Volkswagen,103 bhp @ 5250 rpm,Vento Comfortline Petrol,153 Nm @ 3800 rpm,First,430000,2–5L,PR2,4.38,5,Individual,Manual,MAN,1699,2015
10,Brown,FWD,1997 cc,58,Petrol,P1E1T1,1685,20–50k,50000,G2,4545,Mumbai,Honda,154 bhp @ 6500 rpm,CR-V 2.0L 2WD AT,190 Nm @ 4300 rpm,First,1130000,10–15L,PR4,22.60,5,Individual,Automatic,AUT,1820,2015
10,Brown,FWD,998 cc,35,CNG,C1NG1,1700,20–50k,42500,G2,3599,Mumbai,Maruti Suzuki,58 bhp @ 6200 rpm,Wagon R LXI CNG,77 Nm @ 3500 rpm,First,415000,2–5L,PR2,9.76,5,Individual,Manual,MAN,1495,2015
10,Brown,FWD,998 cc,35,CNG,C1NG1,1700,50–100k,92000,G3,3599,Mumbai,Maruti Suzuki,58 bhp @ 6200 rpm,Wagon R LXI CNG (O),77 Nm @ 3500 rpm,Second,299000,2–5L,PR2,3.25,5,Individual,Manual,MAN,1495,2015
10,Brown,FWD,998 cc,35,Petrol,P1E1T1,1700,20–50k,45000,G2,3599,Ranchi,Maruti Suzuki,67 bhp @ 6200 rpm,Wagon R VXI,90 Nm @ 3500 rpm,First,310000,2–5L,PR2,6.89,5,Individual,Manual,MAN,1495,2015
10,Gold,AWD,2179 cc,57,Diesel,D1I1E1,1635,50–100k,50623,G3,4465,Kolkata,Land Rover,188 bhp @ 3500 rpm,Evoque HSE Dynamic,420 Nm @ 1750 rpm,Second,2499000,15–25L,PR5,49.36,5,Individual,Automatic,AUT,1900,2015
10,Gold,FWD,1197 cc,45,Petrol,P1E1T1,1505,50–100k,68397,G3,3985,Patna,Hyundai,82 bhp @ 6000 rpm,Elite i20 Asta 1.2,115 Nm @ 4000 rpm,First,525000,5–10L,PR3,7.68,5,Individual,Manual,MAN,1734,2015
10,Gold,FWD,1248 cc,45,Diesel,D1I1E1,1685,100–150k,112000,G4,4265,Chennai,Maruti Suzuki,89 bhp @ 4000 rpm,Ertiga VDi,200 Nm @ 1750 rpm,First,770000,5–10L,PR3,6.88,7,Individual,Manual,MAN,1695,2015
10,Gold,FWD,1373 cc,43,Petrol,P1E1T1,1485,20–50k,38000,G2,4490,Mumbai,Maruti Suzuki,91 bhp @ 6000 rpm,Ciaz VXi (O),130 Nm @ 4000 rpm,First,540000,5–10L,PR3,14.21,5,Individual,Manual,MAN,1730,2015
10,Gold,RWD,2494 cc,55,Diesel,D1I1E1,1760,50–100k,98000,G3,4585,Mumbai,Toyota,101 bhp @ 3600 rpm,Innova 2.5 GX BS IV 7 STR,200 Nm @ 1200 rpm,First,990000,5–10L,PR3,10.10,7,Individual,Manual,MAN,1765,2015
10,Gold,RWD,2982 cc,80,Diesel,D1I1E1,1850,100–150k,145000,G4,4705,Mohali,Toyota,169 bhp @ 3600 rpm,Fortuner 3.0 4x2 AT,360 Nm @ 1400 rpm,Second,1600000,15–25L,PR5,11.03,7,Individual,Automatic,AUT,1840,2015
10,Green,AWD,2498 cc,60,Diesel,D1I1E1,1930,50–100k,85000,G3,3920,Ambala Cantt,Mahindra,105@3800,Thar CRDe 4x4 Non AC,247@1800,Second,525000,5–10L,PR3,6.18,7,Individual,Manual,MAN,1710,2015
10,Grey,AWD,2993 cc,44,Diesel,D1I1E1,1762,50–100k,87000,G3,4886,Mohali,BMW,258 bhp @ 4000 rpm,X5 xDrive 30d M Sport,560 Nm @ 1500 rpm,First,2975000,25–50L,PR6,34.20,5,Individual,Automatic,AUT,1938,2015
10,Grey,FWD,1196 cc,45,Petrol,P1E1T1,1427,50–100k,64000,G3,3795,Pune,Ford,70 bhp @ 6250 rpm,Figo Duratec Petrol Titanium 1.2,102 Nm @ 4000 rpm,First,270000,2–5L,PR2,4.22,5,Individual,Manual,MAN,1680,2015
10,Grey,FWD,1197 cc,37,Petrol,P1E1T1,1500,20–50k,48000,G2,3995,Navi Mumbai,Maruti Suzuki,83 bhp @ 6000 rpm,Baleno Sigma 1.2,115 Nm @ 4000 rpm,First,475000,2–5L,PR2,9.90,5,Individual,Manual,MAN,1745,2015
10,Grey,FWD,1197 cc,43,Petrol,P1E1T1,1520,50–100k,87500,G3,3765,Gurgaon,Hyundai,81 bhp @ 6000 rpm,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],114 Nm @ 4000 rpm,First,375000,2–5L,PR2,4.29,5,Individual,Manual,MAN,1660,2015
10,Grey,FWD,1197 cc,43,Petrol,P1E1T1,1520,50–100k,55660,G3,3765,Raipur,Hyundai,81 bhp @ 6000 rpm,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],114 Nm @ 4000 rpm,First,380000,2–5L,PR2,6.83,5,Individual,Manual,MAN,1660,2015
10,Grey,FWD,1198 cc,45,Petrol,P1E1T1,1453,50–100k,80852,G3,3970,Faridabad,Volkswagen,103 bhp @ 5000 rpm,Polo GT TSI,175 Nm @ 1500 rpm,Second,525000,5–10L,PR3,6.49,5,Individual,Automatic,AUT,1682,2015
10,Grey,FWD,1248 cc,45,Diesel,D1I1E1,1685,20–50k,45000,G2,4265,Gurgaon,Maruti Suzuki,89 bhp @ 4000 rpm,Ertiga ZDi,200 Nm @ 1750 rpm,Second,625000,5–10L,PR3,13.89,7,Individual,Manual,MAN,1695,2015
10,Grey,FWD,1497 cc,40,Petrol,P1E1T1,1495,20–50k,49000,G2,4440,Kolkata,Honda,117 bhp @ 6600 rpm,City V,145 Nm @ 4600 rpm,First,480000,2–5L,PR2,9.80,5,Individual,Manual,MAN,1695,2015
10,Grey,FWD,1497 cc,40,Petrol,P1E1T1,1495,20–50k,44000,G2,4440,Kolkata,Honda,117 bhp @ 6600 rpm,City VX,145 Nm @ 4600 rpm,First,550000,5–10L,PR3,12.50,5,Individual,Manual,MAN,1695,2015
10,Grey,FWD,1498 cc,40,Diesel,D1I1E1,1495,100–150k,114635,G4,4440,Kolkata,Honda,99 bhp @ 3600 rpm,City V Diesel,200 Nm @ 1750 rpm,First,525000,5–10L,PR3,4.58,5,Individual,Manual,MAN,1695,2015
10,Grey,FWD,1498 cc,55,Diesel,D1I1E1,1466,50–100k,85000,G3,4384,Pune,Volkswagen,103 bhp @ 4400 rpm,Vento Highline Diesel AT,250 Nm @ 1500 rpm,First,685000,5–10L,PR3,8.06,5,Individual,Automatic,AUT,1699,2015
10,Grey,FWD,1498 cc,40,Diesel,D1I1E1,1495,50–100k,61000,G3,4440,Ranchi,Honda,99 bhp @ 3600 rpm,City S Diesel,200 Nm @ 1750 rpm,First,585000,5–10L,PR3,9.59,5,Individual,Manual,MAN,1695,2015
10,Grey,FWD,2179 cc,70,Diesel,D1I1E1,1785,20–50k,25000,G2,4585,Mumbai,Mahindra,138 bhp @ 3750 rpm,XUV500 W6,330 Nm @ 1600 rpm,First,800000,5–10L,PR3,32.00,7,Corporate,Manual,MAN,1890,2015
10,Grey,FWD,998 cc,35,Petrol,P1E1T1,1475,50–100k,64000,G3,3545,Mohali,Maruti Suzuki,67 bhp @ 6000 rpm,Alto VXi [2014-2019],90 Nm @ 3500 rpm,First,370000,2–5L,PR2,5.78,5,Individual,Manual,MAN,1490,2015
10,Maroon,FWD,796 cc,35,Petrol,P1E1T1,1475,50–100k,62000,G3,3395,Kanpur,Maruti Suzuki,47 bhp @ 6000 rpm,Alto 800 Lxi,69 Nm @ 3500 rpm,Second,250000,2–5L,PR2,4.03,5,Individual,Manual,MAN,1490,2015
10,Orange,FWD,1498 cc,40,Diesel,D1I1E1,1525,50–100k,89000,G3,3886,Jaipur,Ford,99 bhp @ 3750 rpm,Figo Trend 1.5L TDCi [2015-2016],215 Nm @ 1750 rpm,Second,465000,2–5L,PR2,5.22,5,Individual,Manual,MAN,1695,2015
10,Red,FWD,1197 cc,45,Petrol,P1E1T1,1505,20–50k,33000,G2,3985,Mumbai,Hyundai,82 bhp @ 6000 rpm,Elite i20 Asta 1.2,115 Nm @ 4000 rpm,First,550000,5–10L,PR3,16.67,5,Individual,Manual,MAN,1734,2015
10,Red,FWD,1373 cc,43,Petrol,P1E1T1,1485,20–50k,48000,G2,4490,Mumbai,Maruti Suzuki,91 bhp @ 6000 rpm,Ciaz VXi,130 Nm @ 4000 rpm,First,575000,5–10L,PR3,11.98,5,Individual,Manual,MAN,1730,2015
10,Red,FWD,1498 cc,40,Diesel,D1I1E1,1495,50–100k,76000,G3,4440,Agra,Honda,99 bhp @ 3600 rpm,City SV Diesel,200 Nm @ 1750 rpm,First,540000,5–10L,PR3,7.11,5,Individual,Manual,MAN,1695,2015
10,Red,FWD,1498 cc,45,Diesel,D1I1E1,1469,50–100k,70000,G3,3971,Faridabad,Volkswagen,89 bhp @ 4200 rpm,Polo Comfortline 1.5L (D),230 Nm @ 1500 rpm,First,345000,2–5L,PR2,4.93,5,Individual,Manual,MAN,1682,2015
10,Red,FWD,1582 cc,60,Diesel,D1I1E1,1630,50–100k,82000,G3,4270,Raipur,Hyundai,126 bhp @ 4000 rpm,Creta SX Plus 1.6 CRDI Dual Tone,265 Nm @ 1900 rpm,Second,775000,5–10L,PR3,9.45,5,Individual,Manual,MAN,1780,2015
10,Red,FWD,1591 cc,43,Petrol,P1E1T1,1475,20–50k,42000,G2,4375,Kolkata,Hyundai,121 bhp @ 6300 rpm,Verna 1.6 VTVT S,155 Nm @ 4200 rpm,First,495000,2–5L,PR2,11.79,5,Individual,Manual,MAN,1700,2015
10,Red,FWD,998 cc,35,Petrol,P1E1T1,1700,20–50k,43297,G2,3599,Kollam,Maruti Suzuki,67 bhp @ 6200 rpm,Wagon R VXI,90 Nm @ 3500 rpm,First,390000,2–5L,PR2,9.01,5,Individual,Manual,MAN,1495,2015
10,Red,FWD,998 cc,35,Petrol,P1E1T1,1475,20–50k,20100,G2,3545,Pune,Maruti Suzuki,67 bhp @ 6000 rpm,Alto VXi AMT [2014-2018],90 Nm @ 3500 rpm,First,365000,2–5L,PR2,18.16,5,Individual,Automatic,AUT,1490,2015
10,Red,RWD,1995 cc,60,Diesel,D1I1E1,1429,50–100k,78362,G3,4624,Bangalore,BMW,184 bhp @ 4000 rpm,3-Series 320d Sport Line,380 Nm @ 1750 rpm,First,2275000,15–25L,PR5,29.03,5,Individual,Automatic,AUT,2031,2015
10,Silver,AWD,1968 cc,64,Diesel,D1I1E1,1608,50–100k,80000,G3,4385,Chennai,Audi,174 bhp @ 4200 rpm,Q3 35 TDI Premium,380 Nm @ 1750 rpm,First,1775000,15–25L,PR5,22.19,5,Individual,Automatic,AUT,1831,2015
10,Silver,AWD,2199 cc,64,Diesel,D1I1E1,1690,50–100k,75000,G3,4690,Delhi,Hyundai,194 bhp @ 3800 rpm,Santa Fe 2WD AT [2014-2017],437 Nm @ 1800 rpm,Second,825000,5–10L,PR3,11.00,7,Individual,Automatic,AUT,1880,2015
10,Silver,AWD,2987 cc,100,Diesel,D1I1E1,1850,50–100k,91100,G3,5120,Delhi,Mercedes-Benz,258 bhp @ 3600 rpm,GL-Class 350 CDI,619 Nm @ 1600 rpm,First,3390000,25–50L,PR6,37.21,7,Individual,Automatic,AUT,1934,2015
10,Silver,FWD,1197 cc,42,Petrol,P1E1T1,1555,0–20k,13716,G1,3995,Pune,Maruti Suzuki,85 bhp @ 6000 rpm,Swift DZire VXI,114 Nm @ 4000 rpm,First,495000,2–5L,PR2,36.09,5,Individual,Manual,MAN,1695,2015
10,Silver,FWD,1197 cc,43,Petrol,P1E1T1,1520,20–50k,48000,G2,3765,Delhi,Hyundai,81 bhp @ 6000 rpm,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],114 Nm @ 4000 rpm,First,425000,2–5L,PR2,8.85,5,Individual,Manual,MAN,1660,2015
10,Silver,FWD,1197 cc,45,Petrol,P1E1T1,1555,20–50k,32545,G2,3895,Kolkata,Toyota,79 bhp @ 5600 rpm,Etios 1.2 G,104 Nm @ 3100 rpm,First,434999,2–5L,PR2,13.37,5,Individual,Manual,MAN,1735,2015
10,Silver,FWD,1197 cc,45,Petrol,P1E1T1,1505,50–100k,61900,G3,3985,Gurgaon,Hyundai,82 bhp @ 6000 rpm,Elite i20 Asta 1.2,115 Nm @ 4000 rpm,First,549000,5–10L,PR3,8.87,5,Individual,Manual,MAN,1734,2015
10,Silver,FWD,1197 cc,42,Petrol,P1E1T1,1555,50–100k,70000,G3,3995,Mohali,Maruti Suzuki,85 bhp @ 6000 rpm,Swift DZire ZXI,114 Nm @ 4000 rpm,First,545000,5–10L,PR3,7.79,5,Individual,Manual,MAN,1695,2015
10,Silver,FWD,1197 cc,45,Petrol,P1E1T1,1505,50–100k,68766,G3,3985,Mumbai,Hyundai,82 bhp @ 6000 rpm,Elite i20 Magna 1.2,115 Nm @ 4000 rpm,First,525000,5–10L,PR3,7.63,5,Individual,Manual,MAN,1734,2015
10,Silver,FWD,1197 cc,43,Petrol,P1E1T1,1520,50–100k,58078,G3,3765,Mysore,Hyundai,81 bhp @ 6000 rpm,Grand i10 Magna 1.2 Kappa VTVT [2016-2017],114 Nm @ 4000 rpm,Second,550000,5–10L,PR3,9.47,5,Individual,Manual,MAN,1660,2015
10,Silver,FWD,1248 cc,42,Diesel,D1I1E1,1555,20–50k,50000,G2,3995,Dehradun,Maruti Suzuki,74 bhp @ 4000 rpm,Swift DZire VDI,190 Nm @ 2000 rpm,Second,500000,2–5L,PR2,10.00,5,Individual,Manual,MAN,1695,2015
10,Silver,FWD,1248 cc,45,Diesel,D1I1E1,1685,50–100k,72000,G3,4265,Agra,Maruti Suzuki,89 bhp @ 4000 rpm,Ertiga VDi,200 Nm @ 1750 rpm,First,599000,5–10L,PR3,8.32,7,Individual,Manual,MAN,1695,2015
10,Silver,FWD,1248 cc,42,Diesel,D1I1E1,1555,50–100k,55000,G3,3995,Dehradun,Maruti Suzuki,74 bhp @ 4000 rpm,Swift DZire VDI,190 Nm @ 2000 rpm,Second,459999,2–5L,PR2,8.36,5,Individual,Manual,MAN,1695,2015
10,Silver,FWD,1248 cc,42,Diesel,D1I1E1,1555,50–100k,65000,G3,3995,Delhi,Maruti Suzuki,74 bhp @ 4000 rpm,Swift DZire VDI,190 Nm @ 2000 rpm,Second,400000,2–5L,PR2,6.15,5,Individual,Manual,MAN,1695,2015
10,Silver,FWD,1373 cc,43,Petrol,P1E1T1,1485,20–50k,45969,G2,4490,Mumbai,Maruti Suzuki,91 bhp @ 6000 rpm,Ciaz VXi,130 Nm @ 4000 rpm,First,511000,5–10L,PR3,11.12,5,Individual,Manual,MAN,1730,2015
10,Silver,FWD,1396 cc,45,Diesel,D1I1E1,1555,50–100k,59000,G3,3995,Agra,Hyundai,89 bhp @ 4000 rpm,i20 Active 1.4 SX,220 Nm @ 1500 rpm,First,540000,5–10L,PR3,9.15,5,Individual,Manual,MAN,1760,2015
10,Silver,FWD,1396 cc,45,Diesel,D1I1E1,1505,50–100k,61000,G3,3985,Ahmedabad,Hyundai,89 bhp @ 4000 rpm,Elite i20 Sportz 1.4,220 Nm @ 1500 rpm,First,561000,5–10L,PR3,9.20,5,Individual,Manual,MAN,1734,2015
10,Silver,FWD,1497 cc,40,Petrol,P1E1T1,1495,50–100k,59000,G3,4440,Faridabad,Honda,117 bhp @ 6600 rpm,City VX CVT,145 Nm @ 4600 rpm,First,690000,5–10L,PR3,11.69,5,Individual,Automatic,AUT,1695,2015
10,Silver,FWD,1498 cc,52,Diesel,D1I1E1,1708,20–50k,43000,G2,3999,Mumbai,Ford,89 bhp @ 3750 rpm,Ecosport Titanium 1.5 TDCi,204 Nm @ 2000 rpm,First,595000,5–10L,PR3,13.84,5,Individual,Manual,MAN,1765,2015
10,Silver,FWD,1498 cc,40,Diesel,D1I1E1,1544,50–100k,68244,G3,3955,Indore,Honda,98 bhp @ 3600 rpm,Jazz V Diesel,200 Nm @ 1750 rpm,Second,525000,5–10L,PR3,7.69,5,Individual,Manual,MAN,1694,2015
10,Silver,FWD,1582 cc,60,Diesel,D1I1E1,1630,50–100k,90000,G3,4270,Lucknow,Hyundai,126 bhp @ 4000 rpm,Creta 1.6 SX Plus Special Edition,265 Nm @ 1900 rpm,First,800000,5–10L,PR3,8.89,5,Individual,Manual,MAN,1780,2015
10,Silver,FWD,1591 cc,43,Petrol,P1E1T1,1475,50–100k,58200,G3,4370,Mumbai,Hyundai,121 bhp @ 6300 rpm,Verna Fluidic 1.6 VTVT SX AT,158 Nm @ 4200 rpm,First,645000,5–10L,PR3,11.08,5,Individual,Automatic,AUT,1700,2015
10,Silver,FWD,1591 cc,43,Petrol,P1E1T1,1475,50–100k,58200,G3,4370,Navi Mumbai,Hyundai,121 bhp @ 6300 rpm,Verna Fluidic 1.6 VTVT SX AT,158 Nm @ 4200 rpm,First,598000,5–10L,PR3,10.27,5,Individual,Automatic,AUT,1700,2015
10,Silver,FWD,1968 cc,63,Diesel,D1I1E1,1427,20–50k,49000,G2,4701,Mohali,Audi,177 bhp @ 4200 rpm,A4 35 TDI Premium Sunroof,380 Nm @ 1750 rpm,First,1525000,15–25L,PR5,31.12,5,Individual,Automatic,AUT,1826,2015
10,Silver,FWD,1991 cc,50,Petrol,P1E1T1,1494,20–50k,43200,G2,4424,Pune,Mercedes-Benz,181 bhp @ 5500 rpm,GLA 200 Sport,300 Nm @ 1200 rpm,First,2250000,15–25L,PR5,52.08,5,Corporate,Automatic,AUT,1804,2015
10,Silver,FWD,1997 cc,70,Diesel,D1I1E1,1785,150k+,157662,G5,4585,Jaipur,Mahindra,138 bhp @ 3750 rpm,XUV500 W8 1.99 [2016-2017],320 Nm @ 1600 rpm,Second,690000,5–10L,PR3,4.38,7,Individual,Manual,MAN,1890,2015
